中国,CN,华南,800000,广东省,440000,汕头市,440500,,-1,京宽网络,1000118
中国,CN,西南,500000,四川省,510000,资阳市,512000,,-1,电信,100017
中国,CN,西北,600000,陕西省,610000,西安市,610100,,-1,联通,100026
中国,CN,华东,300000,江苏省,320000,苏州市,320500,太仓市,320585,联通,100026
中国,CN,华中,400000,河南省,410000,信阳市,411500,,-1,电信,100017
中国,CN,华东,300000,江西省,360000,九江市,360400,九江县,360421,电信,100017
中国,CN,华中,400000,河南省,410000,洛阳市,410300,,-1,长城互联网,1000313
中国,CN,华东,300000,山东省,370000,德州市,371400,庆云县,371423,联通,100026
中国,CN,华北,100000,内蒙古自治区,150000,巴彦淖尔市,150800,,-1,沃通电子商务,1000147
中国,CN,西北,600000,陕西省,610000,宝鸡市,610300,岐山县,610323,联通,100026
中国,CN,华北,100000,河北省,130000,,-1,,-1,电信,100017
中国,CN,华中,400000,河南省,410000,,-1,,-1,广电网,1000139
中国,CN,西北,600000,青海省,630000,海北藏族自治州,632200,,-1,电信,100017
中国,CN,华南,800000,广东省,440000,广州市,440100,,-1,联通,100026
中国,CN,华东,300000,江苏省,320000,连云港市,320700,,-1,,-1
中国,CN,华北,100000,内蒙古自治区,150000,赤峰市,150400,,-1,联通,100026
中国,CN,华南,800000,广东省,440000,深圳市,440300,,-1,中国在线,1000309
库克群岛,CK,,,,,,,,,,
中国,CN,华南,800000,广东省,440000,广州市,440100,黄埔区,440112,教育网,100027
中国,CN,西北,600000,陕西省,610000,西安市,610100,长安区,610116,电信,100017
中国,CN,西北,600000,新疆维吾尔自治区,650000,,-1,,-1,中电飞华,100028
中国,CN,东北,200000,辽宁省,210000,沈阳市,210100,法库县,210124,联通,100026
中国,CN,西南,500000,四川省,510000,凉山彝族自治州,513400,,-1,电信,100017
中国,CN,华东,300000,福建省,350000,,-1,,-1,移动,100025
中国,CN,华东,300000,安徽省,340000,阜阳市,341200,临泉县,341221,电信,100017
