0,16777215,3999
16777216,16777471,2324
16777472,16777727,2723
16777728,16778239,2658
16778240,16779263,2324
16779264,16781311,4523
16781312,16785407,1644
16785408,16793599,725
16793600,16809983,1644
16809984,16842751,2330
16842752,16843007,2723
16843008,16843263,2324
16843264,16843775,2723
16843776,16844799,2658
16844800,16850943,4523
16850944,16859135,725
16859136,16875519,1644
16875520,16908287,2330
16908288,16908799,2658
16908800,16909055,1409
16909056,16909311,2324
16909312,16909567,3045
16909568,16910335,2658
16910336,16910591,2344
16910592,16912383,4523
16912384,16941055,725
16941056,16973823,2330
16973824,17039359,725
17039360,17039615,2324
17039616,17040383,2658
17040384,17040639,1409
17040640,17041407,2658
17041408,17043455,4523
17043456,17047551,725
17047552,17055743,4523
17055744,17072127,725
17072128,17104895,2330
17104896,17170431,1644
17170432,17301503,2459
17301504,17367039,1195
17367040,17432575,2815
17432576,17434623,4523
17434624,17435135,2723
17435136,17435391,2324
17435392,17435647,2658
17435648,17436671,2723
17436672,17465343,725
17465344,17498111,2330
17498112,17563647,3214
17563648,17825791,3980
17825792,18087935,3214
18087936,18153471,2330
18153472,18219007,1644
18219008,18350079,2459
18350080,18350335,769
18350336,18350591,2308
18350592,18352127,769
18352128,18354175,4182
18354176,18358271,769
18358272,18372607,1811
18372608,18374655,769
18374656,18378751,1438
18378752,18381823,769
18381824,18382079,1438
18382080,18382847,769
18382848,18391039,2213
18391040,18399231,769
18399232,18399743,1811
18399744,18399999,769
18400000,18400255,1811
18400256,18401279,769
18401280,18402303,2308
18402304,18405375,769
18405376,18406399,1811
18406400,18415615,769
18415616,18417663,1811
18417664,18419967,3924
18419968,18420223,769
18420224,18421759,3924
18421760,18422015,2765
18422016,18424831,1811
18424832,18425855,769
18425856,18427391,1811
18427392,18427647,769
18427648,18427903,1811
18427904,18439167,769
18439168,18439423,1811
18439424,18439679,769
18439680,18439935,1811
18439936,18440191,769
18440192,18441215,2308
18441216,18448383,769
18448384,18450431,1811
18450432,18454527,769
18454528,18464767,4182
18464768,18473983,769
18473984,18481151,1438
18481152,18489343,2715
18489344,18518015,85
18518016,18519039,2715
18519040,18520319,4369
18520320,18522111,85
18522112,18523135,3902
18523136,18546687,85
18546688,18553343,3902
18553344,18553599,2715
18553600,18563071,3902
18563072,18569215,2715
18569216,18575359,85
18575360,18874367,769
18874368,18907135,2815
18907136,18939903,2503
18939904,19005439,1644
19005440,19136511,4115
19136512,19202047,2503
19202048,19267583,344
19267584,19398655,2459
19398656,19726335,2324
19726336,19791871,3045
19791872,19922943,2330
19922944,19988479,3357
19988480,20004863,1781
20004864,20054015,3357
20054016,20107519,3893
20107520,20107775,0
20107776,20108287,3893
20108288,20108799,0
20108800,20119551,3893
20119552,20123647,3155
20123648,20135935,2863
20135936,20148223,3155
20148224,20150271,2517
